date,category,amount
2022-07-06 05:57:10 +0000,Restuarant,5.5
2022-07-06 05:57:27 +0000,Market,2.0
2022-07-06 05:58:12 +0000,Coffe,30.1
2022-07-06 05:58:25 +0000,Market,17.33
2022-07-06 05:59:00 +0000,Restuarant,5.5
2022-07-06 05:59:15 +0000,Market,11.78
2022-07-06 05:59:41 +0000,Restuarant,10.0
2022-07-06 05:59:44 +0000,Market,1.38
2022-07-06 05:59:45 +0000,Restuarant,10.0
2022-07-06 05:59:56 +0000,Market,2.73
2022-07-06 06:00:04 +0000,Market,1.94
2022-07-06 06:00:53 +0000,Transport,5.0
2022-07-06 06:01:09 +0000,Restuarant,6.0
2022-07-06 06:07:09 +0000,Market,2.8
2022-07-06 08:55:16 +0000,Coffe,6.6
2022-07-06 14:43:13 +0000,Coffe,7.6
2022-07-06 17:48:06 +0000,Market,3.12
2022-07-07 09:52:48 +0000,Market,2.37
2022-07-07 09:56:52 +0000,Coffe,6.0
2022-07-07 15:06:54 +0000,Market,12.36
2022-07-08 05:00:36 +0000,Market,1.98
2022-07-08 13:02:25 +0000,Restuarant,5.0
2022-07-08 17:16:44 +0000,Market,2.04
2022-07-08 17:16:50 +0000,Restuarant,12.0
2022-07-09 04:43:12 +0000,Coffe,5.7
2022-07-09 06:37:03 +0000,Restuarant,48.0
2022-07-09 06:37:08 +0000,Transport,5.0
2022-07-10 05:45:45 +0000,Transport,21.0
2022-07-10 18:15:13 +0000,Other,20.0
2022-07-10 18:38:38 +0000,Phone,10.0
2022-07-11 15:05:15 +0000,Market,13.62
2022-07-11 15:05:19 +0000,Transport,10.0
2022-07-11 15:05:28 +0000,Market,12.76
2022-07-12 18:47:10 +0000,Restuarant,10.0
2022-07-12 19:09:28 +0000,Market,8.2
2022-07-12 19:10:28 +0000,Communal,150.0
2022-07-13 09:35:23 +0000,Transport,2.0
2022-07-13 14:10:40 +0000,Coffe,6.6
2022-07-13 17:06:52 +0000,Market,1.8
2022-07-14 12:07:03 +0000,Coffe,7.6
2022-07-15 12:42:39 +0000,Transport,6.0
2022-07-15 15:37:35 +0000,Coffe,6.6
2022-07-15 18:24:42 +0000,Market,7.44
2022-07-16 08:26:25 +0000,Coffe,16.0
2022-07-16 09:19:28 +0000,Transport,2.0
2022-07-16 09:49:31 +0000,Coffe,7.6
2022-07-17 10:12:20 +0000,Transport,5.0
2022-07-17 10:12:22 +0000,Coffe,7.6
2022-07-17 10:59:19 +0000,Coffe,7.6
2022-07-17 16:22:17 +0000,Restuarant,10.0
2022-07-17 16:55:41 +0000,Market,4.5
2022-07-18 10:54:56 +0000,Coffe,15.2
2022-07-19 11:18:02 +0000,Coffe,15.6
2022-07-19 12:26:37 +0000,Coffe,3.0
2022-07-19 17:48:53 +0000,Market,18.0
2022-07-19 17:48:55 +0000,Restuarant,10.0
2022-07-20 11:59:47 +0000,Restuarant,5.5
2022-07-20 11:59:52 +0000,Market,4.38
2022-07-20 13:37:03 +0000,Restuarant,10.0
2022-07-20 14:33:00 +0000,Coffe,7.6
2022-07-20 19:23:39 +0000,Transport,4.0
2022-07-21 01:27:52 +0000,Restuarant,8.0
2022-07-27 17:44:12 +0000,Coffe,7.6
2022-07-27 21:09:08 +0000,Market,8.0
2022-07-28 00:51:54 +0000,Clothing,87.0
2022-07-28 00:52:30 +0000,Clothing,135.5
2022-07-28 00:52:37 +0000,Clothing,90.0
2022-07-28 15:59:29 +0000,Market,8.0
2022-07-28 19:18:45 +0000,Motel,675.0
2022-07-28 19:19:02 +0000,Travel,733.25
2022-07-28 19:21:17 +0000,Rent Car,80.0
2022-07-28 19:23:16 +0000,Rent Car,15.0
2022-07-28 19:24:50 +0000,Communal,9.0
2022-07-29 10:44:07 +0000,Phone,7.0
2022-07-29 14:43:54 +0000,Restuarant,7.0
2022-07-29 14:43:57 +0000,Transport,1.0
2022-07-29 14:44:10 +0000,Travel,260.0
2022-07-30 08:41:21 +0000,Coffe,7.6
2022-07-30 12:08:27 +0000,Coffe,28.4
2022-07-30 16:57:05 +0000,Restuarant,7.5
2022-07-31 10:51:59 +0000,Transport,3.0
2022-07-31 14:18:59 +0000,Coffe,6.5
2022-08-01 05:10:13 +0000,Market,4.0
2022-08-01 12:28:01 +0000,Market,2.0
2022-08-01 15:15:20 +0000,Restuarant,5.3
2022-08-01 15:15:22 +0000,Restuarant,5.0
2022-08-01 19:48:07 +0000,Other,14.0
2022-08-02 10:21:16 +0000,Restuarant,5.5
2022-08-02 15:11:18 +0000,Restuarant,7.2
2022-08-03 04:57:19 +0000,Market,1.4
2022-08-03 06:31:31 +0000,Market,4.8
2022-08-03 06:32:08 +0000,Sport,68.3
2022-08-03 11:30:32 +0000,Restuarant,5.0
2022-08-03 14:40:23 +0000,Coffe,7.6
2022-08-04 04:55:30 +0000,Market,4.14
2022-08-04 05:50:45 +0000,Market,4.25
2022-08-04 10:31:16 +0000,Restuarant,5.0
2022-08-05 04:01:58 +0000,Transport,5.0
2022-08-05 05:01:59 +0000,Market,1.4
2022-08-05 09:07:01 +0000,Restuarant,9.0
2022-08-06 07:22:47 +0000,Transport,1.6
2022-08-06 07:24:57 +0000,Coffe,7.6
2022-08-06 13:45:46 +0000,Market,0.42
2022-08-06 13:45:51 +0000,Restuarant,7.0
2022-08-07 11:26:56 +0000,Market,0.46
2022-08-07 15:31:36 +0000,Restuarant,24.0
2022-08-08 05:04:56 +0000,Market,1.4
2022-08-08 08:30:46 +0000,Restuarant,3.5
2022-08-08 15:43:37 +0000,Transport,0.5
2022-08-09 09:21:41 +0000,Restuarant,4.0
2022-08-09 09:21:57 +0000,Market,1.45
2022-08-09 12:35:45 +0000,Market,1.9
2022-08-09 17:48:55 +0000,Coffe,6.0
2022-08-10 06:13:21 +0000,Events,12.0
2022-08-10 14:09:34 +0000,Restuarant,5.0
2022-08-10 14:17:53 +0000,Coffe,7.6
2022-08-11 04:42:14 +0000,Market,1.4
2022-08-11 05:57:33 +0000,Phone,4.0
2022-08-11 06:04:54 +0000,Phone,5.0
2022-08-11 08:35:30 +0000,Restuarant,5.0
2022-08-11 16:50:44 +0000,Coffe,7.0
2022-08-11 17:46:33 +0000,Market,10.8
2022-08-12 04:45:03 +0000,Market,1.43
2022-08-12 09:46:46 +0000,Market,1.43
2022-08-12 10:36:35 +0000,Restuarant,4.5
2022-08-12 11:12:19 +0000,Events,13.3
2022-08-12 12:13:20 +0000,Learning,220.0
2022-08-12 15:42:41 +0000,Market,8.64
2022-08-13 05:27:54 +0000,Transport,6.0
2022-08-13 05:50:02 +0000,Transport,1.0
2022-08-13 09:31:09 +0000,Restuarant,13.0
2022-08-13 09:31:13 +0000,Coffe,6.0
2022-08-13 09:31:32 +0000,Coffe,6.0
2022-08-13 14:39:33 +0000,Learning,2.3
2022-08-13 15:32:31 +0000,Transport,5.0
2022-08-14 06:41:57 +0000,Coffe,7.6
2022-08-14 08:01:58 +0000,Coffe,7.5
2022-08-14 09:41:05 +0000,Coffe,7.6
2022-08-14 12:40:47 +0000,Coffe,6.3
2022-08-14 15:55:13 +0000,Restuarant,20.0
2022-08-15 07:26:16 +0000,Market,7.45
2022-08-15 19:12:02 +0000,Restuarant,10.0
2022-08-15 19:12:03 +0000,Transport,2.0
2022-08-16 04:24:19 +0000,Market,3.1
2022-08-16 05:20:42 +0000,Learning,30.0
2022-08-16 08:37:20 +0000,Restuarant,5.5
2022-08-16 17:27:54 +0000,Coffe,6.3
2022-08-16 17:27:57 +0000,Restuarant,5.0
2022-08-17 02:47:05 +0000,Transport,4.0
2022-08-17 03:02:23 +0000,Transport,1.0
2022-08-17 04:28:32 +0000,Market,2.8
2022-08-17 09:55:39 +0000,Restuarant,5.5
2022-08-17 19:07:58 +0000,Market,8.48
2022-08-18 09:16:16 +0000,Restuarant,13.0
2022-08-18 19:23:24 +0000,Market,6.78
2022-08-19 04:28:17 +0000,Market,11.25
2022-08-19 04:28:20 +0000,Transport,4.0
2022-08-19 10:09:05 +0000,Phone,12.0
2022-08-19 16:58:44 +0000,Restuarant,10.0
2022-08-20 06:50:04 +0000,Restuarant,37.0
2022-08-20 06:50:06 +0000,Transport,2.0
2022-08-20 12:17:15 +0000,Coffe,7.6
